familia,sub-familia,CÓDIGO,PRODUCTO,IMPORTADO,tipo_fabricacion,complejidad
Cocinas Industriales,cocina-gas,HGR-905,Cocina 4 Quemadores Gas,IMPORTADO,importado-revisar,C2
Cocinas Industriales,cocina-con-horno,HGR-998,Cocina 4 Quemadores con Horno y Plancha Lisa/ Gas,IMPORTADO,importado-revisar,C3
Cocinas Industriales,vitrina-caliente,HW-862,Vitrina Caliente 650,IMPORTADO,importado-revisar,C2
Cocinas Industriales,vitrina-caliente,HW-863,Vitrina Caliente 900,IMPORTADO,importado-revisar,C2
Cocinas Industriales,parrilla,,Parrilla Piloto a Gas,,fabricado,C1
Cocinas Industriales Eléctricas,cocina-electrica,CCCE-0013,Cocina Eléctrica 4 Quemadores,,fabricado,C3
Cocinas Industriales Eléctricas,cocina-electrica,CCCE-0014,Cocina Eléctrica 8 Quemadores,,fabricado,C3
Cocinas Industriales Eléctricas,cocina-electrica,CCCE-0006,Cocina Industrial Eléctrica,,fabricado,C3
Cocinas Industriales Eléctricas,cocina-induccion,,Cocina de inducción 300,,fabricado,C2
Cocinas Industriales Eléctricas,cocina-induccion,,Cocina de Inducción 600,,fabricado,C2
Depósitos Gastronómicos,deposito-gn,DEP1/2-0016,Deposito Gastronomico 1/2X65,IMPORTADO,importado-revisar,C1
Depósitos Gastronómicos,deposito-gn,DEP1/2-0061,Deposito Gastronomico 1/2X100,IMPORTADO,importado-revisar,C1
Depósitos Gastronómicos,deposito-gn,DEP1/2-0104,Deposito Gastronomico 1/2X150,IMPORTADO,importado-revisar,C1
Depósitos Gastronómicos,deposito-gn,DEP1/3-0041,Deposito Gastronomico 1/3X100,IMPORTADO,importado-revisar,C1
Depósitos Gastronómicos,deposito-gn,DEP1/3-0062,Deposito Gastronomico 1/3X150,IMPORTADO,importado-revisar,C1
Depósitos Gastronómicos,deposito-gn,DEP1/4-0038,Deposito Gastronomico 1/4X100,IMPORTADO,importado-revisar,C1
Depósitos Gastronómicos,deposito-gn,DEP1/4-0047,Deposito Gastronomico 1/4X150,IMPORTADO,importado-revisar,C1
Depósitos Gastronómicos,deposito-gn,DEP1/6-0019,Deposito Gastronomico 1/6X100,IMPORTADO,importado-revisar,C1
Depósitos Gastronómicos,deposito-gn,DEP1/9-0026,Deposito Gastronomico 1/9X100,IMPORTADO,importado-revisar,C1
Depósitos Gastronómicos,deposito-gn,DEPFULL-0065,Deposito Gastronomico FULLX65,IMPORTADO,importado-revisar,C1
Depósitos Gastronómicos,deposito-gn,DEPFULL-0137,Deposito Gastronomico FULLX100,IMPORTADO,importado-revisar,C1
Depósitos Gastronómicos,deposito-gn,DEPFULL-0208,Deposito Gastronomico FULLX150,IMPORTADO,importado-revisar,C1
Depósitos Gastronómicos,deposito-gn,DEPFULL-0200,Deposito Gastronomico FULLX200,IMPORTADO,importado-revisar,C1
Depósitos Gastronómicos,tapa-deposito,TDEP1/2-0002,Tapa Deposito 1/2,IMPORTADO,importado-revisar,C1
Depósitos Gastronómicos,tapa-deposito,TDEP1/3-0004,Tapa Deposito 1/3,IMPORTADO,importado-revisar,C1
Depósitos Gastronómicos,tapa-deposito,TDEP1/4-0005,Tapa Deposito 1/4,IMPORTADO,importado-revisar,C1
Depósitos Gastronómicos,tapa-deposito,TDEP1/6-0006,Tapa Deposito 1/6,IMPORTADO,importado-revisar,C1
Depósitos Gastronómicos,tapa-deposito,TDEP1/9-0007,Tapa Deposito 1/9,IMPORTADO,importado-revisar,C1
Depósitos Gastronómicos,tapa-deposito,TDEPFULL-0001,Tapa Deposito Full,IMPORTADO,importado-revisar,C1
Estantes,repisa-simple,RMAI-0300,Repisa Simple 300 MM,,fabricado,C1
Estantes,repisa-simple,RMAI-0400,Repisa Simple 400 MM,,fabricado,C1
Estantes,repisa-doble,RMAI-1000,Metro Lineal Repisa Doble,,fabricado,C1
Estantes,repisa-doble,RMAI-1200,Repisa Doble 1200 MM,,fabricado,C1
Estantes,repisa-especial,SECP-1200,Repisa para Secado de Platos,,fabricado,C2
Estantes,repisa-especial,RMPC-0820,Repisa Mural Porta Chata,,fabricado,C2
Estantes,estanteria-especial,EV-1810,Estructura para Vinos,,fabricado,C3
Estantes,armario,EC2P,Armario Especial Laboratorio 1200 MM,,fabricado,C3
Estantes,armario,EC3P,Armario Especial Laboratorio 1800 MM,,fabricado,C3
Estantes,armario,ESTW-0840,Armario W 800,,fabricado,C2
Estantes,armario,ESTW-1040,Armario W 1000,,fabricado,C2
Estantes,estanteria-lisa,BAET-0104,Estantería Lisa 900 X 450 MM,,fabricado,C1
Estantes,estanteria-lisa,BAET-0900,Estantería Lisa 900 X 600 MM,,fabricado,C1
Estantes,estanteria-lisa,BAET-1200,Estantería Lisa 1200 X 450 MM,,fabricado,C1
Estantes,estanteria-lisa,BAET-0600,Estantería Lisa 1200 X 600 MM,,fabricado,C1
Estantes,estanteria-lisa,BAET-1500,Estantería Lisa 1500 X 450 MM,,fabricado,C1
Estantes,estanteria-lisa,BAET-1600,Estantería Lisa 1600 X 600 MM,,fabricado,C1
Estantes,estanteria-parrilla,BAET-0204,Estantería Parrilla 900 X 450 MM,,fabricado,C1
Estantes,estanteria-parrilla,BAET-0960,Estantería Parrilla 900 X 600 MM,,fabricado,C1
Estantes,estanteria-parrilla,BAET-1245,Estantería Parrilla 1200 X 450 MM,,fabricado,C1
Estantes,repisa-especial,BAET-1130,Estante con Repisa para Secado de Platos,,fabricado,C2
Estantes,estanteria-parrilla,BAET-0612,Estantería Parrilla 1200 X 600 MM,,fabricado,C1
Estantes,estanteria-parrilla,BAET-1545,Estantería Parrilla 1500 X 450 MM,,fabricado,C1
Estantes,estanteria-parrilla,BAET-1660,Estantería Parrilla 1600 X 600 MM,,fabricado,C1
Freidoras,freidora-gas,FDP020,Freidora de Papas con 2 Canastillos a Gas,IMPORTADO,importado-revisar,C2
Freidoras,freidora-gas,FDP030,Freidora de Papas con 2C/3Q A GAS,IMPORTADO,importado-revisar,C2
Freidoras,freidora-gas,FDP038,Freidora de Papas con 3 Canastillos a Gas,IMPORTADO,importado-revisar,C2
Freidoras,freidora-gas,HGF-968,Freidora 1 Canastillo con Gabinete/ Gas,IMPORTADO,importado-revisar,C2
Freidoras,freidora-gas,HGF-908,Freidora 2 Canastillos con Gabinete/ Gas,IMPORTADO,importado-revisar,C2
Freidoras,freidora-electrica,HEF-26,Freidora Eléctrica Simple,IMPORTADO,importado-revisar,C3
Freidoras,freidora-electrica,HEF-26-2,Freidora Eléctrica Doble,IMPORTADO,importado-revisar,C3
Freidoras,freidora-electrica,HEF-608,Freidora Electrica Encimera 2 Canastillos,IMPORTADO,importado-revisar,C3
Freidoras,freidora-electrica,HEF-12L,Freidora Encimera Electrica 1 Canastillo,IMPORTADO,importado-revisar,C3
Freidoras,freidora-electrica,HEF-12L-2,Freidora Encimera Electrica 2 Canastillos,IMPORTADO,importado-revisar,C3
Freidoras,accesorio-freidora,,Enchufe 16 Amperes,IMPORTADO,importado-revisar,C1
Freidoras,freidora-especial,CCFR-056,Freidora de Vienesas Electrica,,fabricado,C3
Freidoras,accesorio-freidora,CCFR-0057,Mantenedor de Papas Fritas,,fabricado,C1
Freidoras,accesorio-freidora,CPFS-1320,Chute de Papas Fritas Y Sandwitch,,fabricado,C1
Freidoras,accesorio,CCFR-0058,Cocedora de Pastas,IMPORTADO,importado-revisar,C1
Griferías,estacion-agua,GEA1,Estacion de Agua 240,IMPORTADO,importado-material,C2
Griferías,estacion-agua,GEA2,Estacion de Agua 250,IMPORTADO,importado-material,C2
Griferías,griferia-especial,GLLC,Griferia Lava Cucharas,IMPORTADO,importado-material,C2
Griferías,griferia-especial,GLLP,Llave Precision de 65mm,IMPORTADO,importado-material,C2
Griferías,cuello-cisne,GRILLCC-00210,Cuello Cisne Corto 21cm,IMPORTADO,importado-material,C1
Griferías,cuello-cisne,GRILLCC-00300,Cuello Cisne Largo 30cm,IMPORTADO,importado-material,C1
Griferías,cuello-cisne,GRILLM-00280,Llave Monomando con Cuello Cisne,IMPORTADO,importado-material,C1
Griferías,cuello-cisne,GRILLC-00220,Llave Combinacion con Cuello Cisne,IMPORTADO,importado-material,C1
Griferías,cuello-cisne,GRILLC-00310,Llave Cuello Cisne Recto,IMPORTADO,importado-material,C1
Griferías,prewash,GRILLPW-0620,Llave Pre-wash Corta,IMPORTADO,importado-material,C1
Griferías,prewash,GRILLPW-1100,Llave Pre-wash a Base Cubierta,IMPORTADO,importado-material,C1
Griferías,prewash,GRILLPWCC-1100,Llave Pre-wash a Base Cubierta con Cuello Cisne,IMPORTADO,importado-material,C1
Griferías,prewash,GRILLPWM-1118,Llave Pre-wash a Muro,IMPORTADO,importado-material,C1
Griferías,prewash,GRILLPWMC-1118,Llave Pre-wash a Muro con Cuello Cisne,IMPORTADO,importado-material,C1
Griferías,prewash,GRILLPWR-0450,Llave Pre-wash Manguera retractil,IMPORTADO,importado-material,C1
Griferías,griferia-pedal,GRILPS-00120,Llave Pedal Simple,IMPORTADO,importado-material,C1
Griferías,griferia-pedal,GRILLP-00120,Llave Pedal Doble,IMPORTADO,importado-material,C1
Griferías,griferia-rodilla,GRILRS-00210,Llave Rodilla Simple,IMPORTADO,importado-material,C1
Griferías,griferia-rodilla,GRILLR-00230,Llave Rodilla Doble,IMPORTADO,importado-material,C1
Griferías,desague,GRIDES-001,Desague 1 1/4,IMPORTADO,importado-material,C1
Griferías,desague,GRIDES-002,Desague 1 1/2,IMPORTADO,importado-material,C1
Griferías,desague,GRIDES-004,Desague 4 1/2,IMPORTADO,importado-material,C1
Griferías,cuello-cisne,GRIBWR-001,Llave Cuello Cisne Recto Simple,IMPORTADO,importado-material,C1
Griferías,cuello-cisne,GRIBXF-N1,Llave Cuello Cisne Doble a Muro,IMPORTADO,importado-material,C1
Griferías,griferia-especial,GRICU-0260,Griferia Lava Cucharas,IMPORTADO,importado-material,C2
Griferías,prewash,GEN1705-04,Llave Pre-wash a Base Cubierta con Monomando 1/2 Genebre,IMPORTADO,importado-material,C1
Griferías,prewash,GEN1743-04,Llave Pre-wash a Muro con Cuello Cisne Genebre,IMPORTADO,importado-material,C1
Griferías,prewash,GEN1802-04,Llave Pre-wash a Base Cubierta con Monomando Mezclador Genebre,IMPORTADO,importado-material,C1
Griferías,griferia-simple,GEN61203,Monomando de Fregadera Caño K8 Genebre,IMPORTADO,importado-material,C1
Griferías,valvula,GEN2014-04,Llave de Paso Válvula Esfera 2 Piezas 1/2,IMPORTADO,importado-material,C1
Griferías,prewash,GEN1724-04,Llave Pre-wash a Muro con Monomando Mezclador Genebre,IMPORTADO,importado-material,C1
Hervidores,hervidor,AUHA-0158,Hervidor de Agua 30 LTRS.,,fabricado,C2
Hervidores,hervidor,AUHA-0157,Hervidor de Agua 20 LTRS.,,fabricado,C2
Hervidores,hervidor,HAE-10,Hervidor de Agua 10 LTRS.,,fabricado,C2
Hervidores,hervidor,HAE-20,Hervidor de Agua 20 LTRS.,,fabricado,C2
Hervidores,hervidor,HAE-30,Hervidor de Agua 30 LTRS.,,fabricado,C2
Hervidores,calentador-leche,HCL-15,Calentador de Leche 15 LTRS.,,fabricado,C1
Hornos,horno-industrial,CCHC-0048,Horno de 1 Camara Normalizado,,fabricado,C3
Hornos,horno-industrial,CCHC-0049,Horno de 2 Camaras Normalizado,,fabricado,C3
Hornos,horno-industrial,CCHC-0050,Horno de 3 Camaras Normalizado,,fabricado,C3
Hornos,horno-convector,HEB-4F,Horno Convector eléctrico 4B,IMPORTADO,importado-revisar,C3
Hornos,horno-convector,HEB-8F,Horno Convector eléctrico de 835MM,IMPORTADO,importado-revisar,C3
Hornos,horno-convector,HCO-04E,Horno Convector Electrico 4,IMPORTADO,importado-revisar,C3
Hornos,horno-convector,HCO-06E,Horno Convector Electrico 6,IMPORTADO,importado-revisar,C3
Hornos,horno-convector,HCO-10E,Horno Convector Electrico 10,IMPORTADO,importado-revisar,C3
Hornos,accesorio,,Atril para Horno Convector,,fabricado,C1
Hornos,accesorio,,Ablandador de agua,,fabricado,C1
Hornos,horno-pizza,PIHP-01130,Horno Electrico Pizzero,IMPORTADO,importado-revisar,C3
Hornos,horno-pizza,HEP-1ST,Horno de Pizza Eléctrico Simple,IMPORTADO,importado-revisar,C3
Hornos,horno-asador,PR-623ST,Horno Asador de Pollo 4 Espadas,IMPORTADO,importado-revisar,C2
Hornos,horno-asador,HGJ-306,Horno de Pollos Vertical,IMPORTADO,importado-revisar,C2
Hornos,horno-asador,HGJ-368,Asador de Pollos a gas,IMPORTADO,importado-revisar,C2
Hornos,gratinador,PIHS-01130,Gratinador Grill eléctrico,IMPORTADO,importado-revisar,C2
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Lavaderos,lavamanos,ZLLRC-0420,Lavamanos con Faldon,IMPORTADO,importado-revisar,C1
Lavaderos,lavamanos,ZLLRA-0421,Lavamano con Atril y Accionamiento de Rodilla,IMPORTADO,importado-revisar,C1
Lavaderos,lavamanos,ZLLRF-0422,Lavamano Inox Rodilla,IMPORTADO,importado-revisar,C1
Lavaderos,lavamanos,ZLLRF-0530,Lavamanos un Puesto,IMPORTADO,importado-revisar,C1
Lavaderos,lavamanos,ZLLRP-0700,Lavamanos con pedestal,IMPORTADO,importado-revisar,C1
Lavaderos,lavamanos,DV-400,Lavamanos Mural con Respaldo (Vollrath),IMPORTADO,importado-revisar,C1
Lavaderos,lavamanos,DV-400A,Lavamanos con Atril (Vollrath),IMPORTADO,importado-revisar,C1
Lavaderos,lavamanos,ZLLCA-0031,Lavamanos Fijación a Muro Taza 320x230x130,IMPORTADO,importado-revisar,C1
Lavaderos,lavamanos,ZLLCA-0040,Lavamanos con Atril Taza 320x230x130,IMPORTADO,importado-revisar,C1
Lavaderos,lavamanos,ZLLCA-0055,Lavamanos 1 Taza con Llave Rodilla,IMPORTADO,importado-revisar,C1
Lavaderos,taza-accesorio,ZLLCA-0066,Lavafondo 1 Taza 600x600,IMPORTADO,importado-revisar,C1
Lavaderos,taza-accesorio,ZLLCA-0088,Lavafondo 1 Taza 700X600,IMPORTADO,importado-revisar,C1
Lavaderos,taza-accesorio,ZLLCA-0099,Lavafondo 1 Taza 700X700,IMPORTADO,importado-revisar,C1
Lavaderos,lavamopa,ZLLCA-0506,Mueble Lavamopas,IMPORTADO,importado-revisar,C1
Lavaderos,lavadero-simple,ZLLCA-0111,Lavadero de 1200mm,IMPORTADO,importado-revisar,C1
Lavaderos,lavadero-multiple,ZLLCA-1260,Lavadero Doble Inox Abierto,IMPORTADO,importado-revisar,C2
Lavaderos,lavadero-multiple,ZLLCA-1200,Lavadero Doble Inox Abierto,IMPORTADO,importado-revisar,C2
